label,message
phishing,URGENT votre compte bancaire sera bloque dans 24h connectez-vous vite pour confirmer vos identifiants
phishing,Felicitations vous avez gagne un iPhone cliquez ici pour reclamer votre cadeau maintenant
phishing,Votre colis est bloque en douane payez 2 euros de frais avec votre carte pour le liberer
phishing,Cher client une verification de votre identite est requise merci de confirmer vos coordonnees bancaires
phishing,Votre compte Netflix a ete suspendu mettez a jour votre moyen de paiement immediatement
phishing,Vous avez recu un remboursement des impots cliquez pour renseigner votre RIB et recevoir 384 euros
phishing,Alerte securite une connexion suspecte a votre compte a ete detectee verifiez maintenant votre mot de passe
phishing,Votre carte bancaire va expirer confirmez vos informations sous 48h pour eviter la suspension
phishing,Derniere chance votre abonnement expire aujourd hui renouvelez avec votre carte pour ne pas perdre l acces
phishing,La poste votre colis n a pas pu etre livre reglez les frais de reexpedition de 1 euro ici
phishing,Votre compte a ete temporairement limite pour le reactiver confirmez votre identite en cliquant sur ce lien
phishing,Vous etes le gagnant de notre tirage au sort envoyez vos coordonnees pour recevoir votre prix
phishing,Attention activite frauduleuse detectee sur votre compte connectez-vous immediatement pour securiser
phishing,Votre facture est en attente de paiement reglez maintenant pour eviter des penalites de retard
phishing,Ameli votre remboursement est disponible confirmez vos coordonnees bancaires pour le recevoir
phishing,Bonjour votre boite mail sera desactivee sous 24h validez votre mot de passe pour la conserver
phishing,Offre exclusive reservee cliquez vite avant ce soir pour profiter de 90 pour cent de reduction
phishing,Votre paiement a echoue mettez a jour vos informations bancaires pour eviter l interruption du service
phishing,Nous avons detecte un probleme avec votre compte verifiez vos informations sous peine de fermeture
phishing,Cadeau gratuit pour vous il reste plus que quelques minutes reclamez le en donnant votre numero de carte
legitime,Salut tu es dispo demain soir pour aller au cinema j ai reserve deux places pour 20h
legitime,Bonjour Marie voici le compte rendu de la reunion d hier n hesite pas si tu as des questions
legitime,Ton colis a bien ete expedie tu peux suivre sa livraison depuis ton espace client habituel
legitime,Merci pour ton message je te rappelle demain matin pour en discuter bonne soiree
legitime,Rappel tu as rendez-vous chez le dentiste jeudi a 15h merci de nous prevenir en cas d empechement
legitime,Bonjour votre commande a ete preparee et sera livree entre lundi et mercredi prochain
legitime,Coucou on se retrouve toujours au restaurant ce week-end j ai hate de te voir
legitime,Voici les photos de vacances que je t avais promises j espere qu elles te plairont
legitime,L equipe vous remercie pour votre participation a l evenement de la semaine derniere
legitime,Ton article a bien ete ajoute au panier finalise ta commande quand tu veux aucune urgence
legitime,Bonjour je confirme notre reunion de mardi a 10h dans la salle habituelle a bientot
legitime,Le club de sport sera ferme lundi pour maintenance reouverture normale des mardi
legitime,Merci d avoir contacte notre service nous reviendrons vers vous sous 48h ouvrees
legitime,Felicitations pour ton nouveau poste on est tres contents pour toi on fete ca bientot
legitime,Voici le lien vers le document partage tu peux le modifier directement si besoin
legitime,Bonjour votre abonnement a la newsletter est confirme vous pouvez vous desinscrire a tout moment
legitime,Petit rappel amical la bibliotheque ferme a 18h aujourd hui pense a rendre tes livres
legitime,On a bien recu ton paiement pour la sortie de samedi merci a toi et a tres vite
legitime,Ta reservation pour le train de vendredi est confirmee bon voyage et a bientot
legitime,Salut est-ce que tu peux m envoyer le numero de la babysitter quand tu as un moment merci
